CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
771,6396,2829,2831,167,3860,5727,6.7,16.04279098,47914,52834,10.1,2072,7218,2314,49.7,10213,27.4,97.8,10.07635369,19.75050558,54.0788287,760,89,11.77305929,25313,3.8,249.7,237,0.383556683,3406,12456,2546,2460,11,87.6,428,10.0,350,7.9,38.6,2823,13,11.3,3463,2922,287.0,20545,337,303,11696,3221,26625,447,3831,13.7,50374,11.3,1208
1454,18496,5341,5880,-557,8271,9051,7.2,28.83724008,43018,48504,9.2,3796,15253,4097,46.7,19282,28.8,100.8,22.69271433,41.53459233,107.1469191,1104,231,28.03264746,49662,3.5,273.3,43,0.796586726,6742,22421,3913,4801,22,88.2,109,13.1,162,8.7,33.2,5416,0,9.7,5751,5137,320.5,41304,593,1302,21317,5272,51266,649,7885,13.1,45761,9.9,2928
871,10860,4363,4451,169,4349,7263,6.1,18.75999787,50857,58579,7.3,2222,8058,2792,47.0,14283,21.5,80.3,4.770447847,14.85331158,49.14972658,637,394,19.49391292,35248,2.9,212.0,153,0.745206054,3984,16882,2678,2713,18,74.4,135,9.2,44,6.5,33.7,3698,6,10.7,5118,6202,230.8,30379,1435,5022,16245,3915,37779,549,5107,12.2,54718,9.2,1561
2118,19984,11357,11444,505,10791,21265,5.8,52.7211958,58266,65432,7.8,5484,19479,5716,46.9,33057,21.6,73.9,30.04641601,30.76958286,108.7549623,1483,1370,26.38392586,69216,3.0,189.1,155,2.915995343,14803,44792,4804,6736,79,68.5,12403,9.1,43,6.2,36.5,7913,1,10.6,12646,11595,206.7,70506,1175,1216,43309,11163,91984,7741,12774,11.2,61849,8.1,3478
3490,33106,15993,15845,129,16909,30526,6.7,81.03462274,45124,51702,8.4,8686,31227,10002,48.0,49754,23.2,97.8,50.89722362,99.76286363,273.1605422,2646,4026,59.46754649,109628,3.4,249.7,154,1.93740423,19318,62865,8123,10074,61,87.6,1047,10.3,5,7.9,37.5,12987,42,12.0,17666,17281,287.0,103686,15004,4326,60219,16698,134487,4721,17982,12.5,48413,9.6,6039
17872,84630,183382,120821,4139,93694,131509,6.2,339.3698743,107200,114002,4.6,35077,179193,28886,23.9,182564,20.7,96.2,176.7858465,499.3636333,1312.350762,13545,317204,344.1931335,467444,2.3,243.8,131,8.016435378,394004,575567,79408,54600,4015,87.1,6570,7.5,170,7.2,16.8,67258,54,10.2,60660,151437,279.6,764613,49184,24235,562022,72007,883305,38888,107395,8.8,110601,3.8,39309
608,5932,2283,2367,-237,2664,4124,6.1,6.582066976,45569,51847,9.1,1433,5131,1669,46.1,7266,24.7,79.1,6.419975617,9.605842687,24.67647977,404,136,9.291308264,14106,3.9,202.9,27,0.27980056,1470,9182,2659,1826,14,71.9,73,11.4,29,7.0,32.9,2438,3,10.0,2532,2443,228.7,15759,5724,89,8778,2435,20299,246,2949,15.5,48708,10.6,800
64,607,350,287,44,377,592,8.6,1.717616055,47916,58298,7.8,165,732,128,40.4,850,26.7,92.8,1.282655982,1.076288064,3.04154562,45,20,1.501723464,2633,3.1,219.1,96,0.180968789,372,1557,238,232,0,84.8,76,8.6,159,9.2,30.4,216,54,15.5,402,277,240.4,2106,21,96,1512,361,2801,51,331,10.3,53107,6.1,184
13632,128245,73278,78076,1167,84949,109517,7.2,353.3610977,86842,90234,6.3,31557,151809,31984,39.3,196424,24.2,100.8,278.0683041,508.9498542,1312.939548,12783,32220,343.5019111,555198,2.7,273.3,151,9.761085292,180201,341069,27363,49074,376,88.2,1787,9.7,46,8.7,29.8,53389,40,9.3,77403,70438,320.5,499979,27543,8038,328286,64634,628195,11071,99861,10.7,88538,6.4,30482
129,1412,652,457,-68,527,881,7.3,2.351326316,26216,32814,7.6,260,1149,201,48.3,1660,26.0,91.1,1.102119472,2.028148426,5.995364193,90,54,2.117229511,3927,3.8,213.8,476,0.084937779,391,1624,677,348,0,82.1,147,11.0,361,7.7,35.7,492,0,10.3,543,567,244.8,3436,112,573,1534,454,4341,101,533,14.3,29515,5.8,260
