CKD_number,High school diploma only 2014-18,30-39,40-49,N_POP_CHG_2018,60-69,Some college or associate's degree 2014-18,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Family Medicine/General Practice Primary Care (2019),CI90LBINC_2018,CI90UBINC_2018,Heart disease_prevalence,Heart disease_number,Population Aged 60+,COPD_number,anycondition_prevalence,anycondition_number,Percent of Population Aged 60+,Active Primary Care Physicians per 100000 Population 2018 (AAMC),Total physician assistants (2019),Internal Medicine Primary Care (2019),Total Specialist Physicians (2019),Unemployed_2018,Asian-alone pop,Total nurse practitioners (2019),White-alone pop,CKD_prevalence,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Total Hospitals (2019),Bachelor's degree or higher 2014-18,Civilian_labor_force_2018,Less than a high school diploma 2014-18,70-79,Hawaiian/Pacific Islander-alone pop,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Native American/American Indian-alone pop,R_death_2018,R_DOMESTIC_MIG_2018,Active General Surgeons per 100000 Population 2018 (AAMC),Obesity_prevalence,diabetes_number,R_INTERNATIONAL_MIG_2018,R_birth_2018,19-Oct,20-29,Active Physicians per 100000 Population 2018 (AAMC),county_pop2018_18 and older,Black-alone pop,GQ_ESTIMATES_2018,Employed_2018,0-9,POP_ESTIMATE_2018,Two or more races pop,50-59,diabetes_prevalence,Median_Household_Income_2018,COPD_prevalence,80+
293,2600,1251,1213,113,1114,1869,6.3,3.956791311,44241,54557,9.3,698,2400,734,46.5,3483,27.0,90.3,2.230403684,4.50749517,12.46988777,124,57,4.75154505,6036,3.9,231.8,555,0.101864298,1049,4040,1179,795,4,81.7,44,11.1,515,7.3,37.0,1107,0,10.4,903,1107,263.2,7485,2695,1666,3916,812,9038,202,1266,14.8,49399,9.8,577
5976,41056,36139,29901,3255,34993,71771,6.1,158.1466782,74061,78999,6.5,13982,59433,12803,39.9,85526,23.0,100.6,68.3142092,134.1937401,398.0341004,5713,14730,108.73703,222752,2.8,246.3,426,3.293976544,58452,122885,10152,21751,2685,91.7,4669,8.8,443,6.9,29.7,21777,2,11.6,29948,41468,278.8,214553,8384,9300,117172,30843,269805,16585,34984,10.1,76530,6.0,9778
594,5285,2419,2423,-15,1912,3084,7.6,7.402019782,27041,33017,13.0,1768,3649,2289,64.1,8737,20.6,77.3,3.841258687,7.694204774,25.15128406,294,66,11.43027686,15940,4.4,214.6,48,0.409058988,851,4654,3146,1341,10,72.9,130,9.8,5,8.3,43.5,2604,3,11.9,2129,2244,230.9,13625,988,1936,4360,2076,17408,274,2338,19.1,30029,16.8,526
2639,29465,14075,14215,894,15057,23472,6.7,70.69493098,58055,66439,7.6,6739,24717,7975,41.5,36873,21.7,97.8,44.4029427,87.03352369,238.3063562,2033,1053,51.87972687,111316,3.0,249.7,163,1.690199246,17640,62239,7278,8452,43,87.6,870,7.9,350,7.9,30.6,9428,2,11.7,15892,13545,287.0,88955,1776,955,60206,15179,117327,2269,16816,10.6,62247,9.0,4096
5054,33282,28415,25417,4035,27837,50020,6.1,132.2856621,59283,65241,6.2,11305,47353,11009,33.1,60192,22.3,100.6,57.14309336,112.2496404,332.9453715,5295,10474,90.95575184,195016,2.8,246.3,273,2.755327353,48346,111670,11004,17317,712,91.7,7623,7.5,191,6.9,25.1,16961,56,10.3,27050,40511,278.8,181775,2885,5720,106375,24496,225685,8975,26368,9.3,62262,6.1,8274
627,5239,3054,2547,135,4185,5064,8.6,15.78477503,47241,56307,7.4,1573,6595,1227,38.6,8159,26.4,92.8,11.78752147,9.891014299,27.95159793,384,382,13.80073677,24024,3.0,219.1,282,1.6630909,6067,13076,1118,2271,20,84.8,607,8.8,159,9.2,29.2,1997,53,9.2,3147,3551,240.4,21141,214,1074,12692,2389,25741,494,3310,9.4,51774,5.8,1287
302,2965,1409,1144,-34,1618,2948,6.6,7.450402848,48757,58323,8.0,725,3359,614,43.5,3969,27.9,104.9,3.850578996,6.832015161,19.93928406,220,104,6.120125557,11163,3.3,265.0,5,0.269880537,1581,6887,771,1022,171,96.0,165,11.6,270,7.4,33.9,1056,42,12.0,1428,1387,302.7,9116,104,237,6667,1604,11924,217,1564,11.6,53540,6.7,748
444,4422,1380,1672,-131,2159,2762,9.2,8.768899876,31548,37988,12.4,1323,4109,1632,60.6,6440,31.1,100.1,4.720084703,6.896411183,19.80598417,258,41,6.656167351,11889,4.2,231.6,136,0.395695724,1395,4198,1446,1338,3,89.4,49,13.7,30,10.5,43.1,1907,4,7.8,1243,1318,263.4,10633,574,1103,3940,1060,12760,204,1828,17.9,34768,15.3,762
132,1686,478,625,-1,792,1211,6.3,2.216993937,45313,56403,8.4,350,1476,366,44.3,1848,28.8,90.3,1.249697306,2.525553833,6.986889982,81,8,2.662295213,4970,3.2,231.8,174,0.057074663,722,2286,293,546,0,81.7,20,13.6,209,7.3,31.6,485,0,6.1,572,524,263.2,4176,22,9,2205,422,5064,44,841,11.6,50858,8.8,264
336,1404,1418,995,7,1485,1435,6.3,6.521394487,48078,57612,5.7,748,2733,751,35.1,4623,18.4,90.3,3.676044841,7.429038289,20.55227353,271,949,7.831269647,10903,2.5,231.8,169,0.167887871,4127,6729,317,1080,20,81.7,77,6.6,68,7.3,27.4,1169,36,5.8,2839,4137,263.2,13184,2404,4279,6458,971,14896,543,1342,8.9,52845,5.7,629
