month_n,pdays_n,duration,campaign_n,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
7,0,431,0,-1.8,93.369,-34.8,0.654,5008.7
1,0,437,1,1.4,94.465,-41.8,4.961,5228.1
6,0,893,0,-3.0,92.713,-33.0,0.706,5023.5
2,0,79,5,1.4,93.918,-42.7,4.968,5228.1
0,0,180,1,1.1,93.994,-36.4,4.856,5191.0
0,0,610,0,-1.8,92.893,-46.2,1.281,5099.1
3,0,187,0,1.4,93.444,-36.1,4.968,5228.1
8,0,304,0,-1.8,93.075,-47.1,1.435,5099.1
3,0,196,9,1.4,93.444,-36.1,4.965,5228.1
3,0,60,0,1.4,93.444,-36.1,4.963,5228.1
3,0,14,11,1.4,93.444,-36.1,4.965,5228.1
0,0,185,0,1.1,93.994,-36.4,4.857,5191.0
0,0,104,0,-1.8,92.893,-46.2,1.264,5099.1
0,0,30,9,-1.8,92.893,-46.2,1.281,5099.1
5,0,140,1,-0.1,93.2,-42.0,4.153,5195.8
0,0,196,1,-1.8,92.893,-46.2,1.327,5099.1
0,0,458,2,-1.8,92.893,-46.2,1.334,5099.1
2,0,500,0,1.4,93.918,-42.7,4.96,5228.1
0,0,172,0,-1.8,92.893,-46.2,1.25,5099.1
0,0,41,0,-1.8,92.893,-46.2,1.299,5099.1
8,0,124,0,-1.8,93.075,-47.1,1.405,5099.1
1,0,132,1,1.4,94.465,-41.8,4.864,5228.1
0,0,343,2,-1.8,92.893,-46.2,1.334,5099.1
0,0,186,0,1.1,93.994,-36.4,4.855,5191.0
1,0,761,1,1.4,94.465,-41.8,4.866,5228.1
0,0,207,0,1.1,93.994,-36.4,4.859,5191.0
7,0,95,1,-1.8,92.843,-50.0,1.531,5099.1
2,0,129,3,1.4,93.918,-42.7,4.96,5228.1
5,0,169,1,-0.1,93.2,-42.0,4.153,5195.8
1,0,259,1,-2.9,92.963,-40.8,1.235,5076.2
1,0,1162,1,1.4,94.465,-41.8,4.961,5228.1
0,0,263,3,1.1,93.994,-36.4,4.86,5191.0
1,0,111,2,1.4,94.465,-41.8,4.865,5228.1
