month_n,pdays_n,duration,campaign_n,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
0,0,27,9,-1.8,92.893,-46.2,1.244,5099.1
1,0,256,0,1.4,94.465,-41.8,4.961,5228.1
2,0,347,1,1.4,93.918,-42.7,4.963,5228.1
0,0,241,1,-1.8,92.893,-46.2,1.334,5099.1
2,0,133,1,1.4,93.918,-42.7,4.962,5228.1
8,0,308,0,-1.8,93.075,-47.1,1.41,5099.1
1,0,213,0,-2.9,92.963,-40.8,1.26,5076.2
2,0,157,0,1.4,93.918,-42.7,4.962,5228.1
5,0,39,0,-0.1,93.2,-42.0,4.076,5195.8
5,0,191,0,-0.1,93.2,-42.0,4.153,5195.8
3,0,74,1,1.4,93.444,-36.1,4.964,5228.1
2,0,293,4,1.4,93.918,-42.7,4.963,5228.1
2,0,104,0,1.4,93.918,-42.7,4.963,5228.1
0,0,72,1,-1.8,92.893,-46.2,1.266,5099.1
2,0,334,2,1.4,93.918,-42.7,4.958,5228.1
8,0,121,0,-1.8,93.075,-47.1,1.365,5099.1
8,0,176,2,-1.8,93.749,-34.6,0.642,5008.7
0,0,65,4,-1.8,92.893,-46.2,1.25,5099.1
9,1,126,0,-1.1,94.199,-37.5,0.883,4963.6
2,0,62,3,1.4,93.918,-42.7,4.961,5228.1
2,0,249,29,1.4,93.918,-42.7,4.961,5228.1
3,0,107,2,1.4,93.444,-36.1,4.968,5228.1
0,0,178,1,-1.8,92.893,-46.2,1.25,5099.1
3,0,676,1,-1.7,94.027,-38.3,0.899,4991.6
1,0,188,6,1.4,94.465,-41.8,4.967,5228.1
5,0,100,1,-0.1,93.2,-42.0,4.153,5195.8
2,0,142,1,1.4,93.918,-42.7,4.963,5228.1
3,0,193,0,1.4,93.444,-36.1,4.966,5228.1
5,0,76,0,-0.1,93.2,-42.0,4.153,5195.8
0,0,232,0,1.1,93.994,-36.4,4.855,5191.0
3,0,64,0,1.4,93.444,-36.1,4.968,5228.1
1,0,51,1,1.4,94.465,-41.8,4.959,5228.1
0,0,9,1,-1.8,92.893,-46.2,1.313,5099.1
0,0,99,2,1.1,93.994,-36.4,4.857,5191.0
3,0,146,1,1.4,93.444,-36.1,4.965,5228.1
5,0,126,0,-0.1,93.2,-42.0,4.191,5195.8
5,0,114,0,-0.1,93.2,-42.0,4.12,5195.8
0,0,285,1,1.1,93.994,-36.4,4.857,5191.0
2,0,185,0,1.4,93.918,-42.7,4.963,5228.1
1,0,85,0,1.4,94.465,-41.8,4.961,5228.1
4,0,68,0,-3.4,92.431,-26.9,0.74,5017.5
3,0,254,3,1.4,93.444,-36.1,4.963,5228.1
0,0,485,3,1.1,93.994,-36.4,4.856,5191.0
2,0,208,7,1.4,93.918,-42.7,4.957,5228.1
0,0,385,0,1.1,93.994,-36.4,4.857,5191.0
0,0,1196,0,1.1,93.994,-36.4,4.86,5191.0
2,0,586,0,1.4,93.918,-42.7,4.957,5228.1
1,0,707,0,1.4,94.465,-41.8,4.962,5228.1
0,0,294,0,-1.8,92.893,-46.2,1.281,5099.1
1,0,514,2,1.4,94.465,-41.8,4.961,5228.1
2,0,100,10,1.4,93.918,-42.7,4.961,5228.1
0,0,12,4,-1.8,92.893,-46.2,1.25,5099.1
0,0,289,2,-1.8,92.893,-46.2,1.266,5099.1
0,0,94,1,-1.8,92.893,-46.2,1.281,5099.1
0,0,174,0,1.1,93.994,-36.4,4.858,5191.0
8,0,1463,1,-1.8,93.075,-47.1,1.41,5099.1
3,0,612,2,1.4,93.444,-36.1,4.966,5228.1
8,0,290,1,-1.8,93.075,-47.1,1.435,5099.1
1,0,256,7,1.4,94.465,-41.8,4.959,5228.1
2,0,745,2,1.4,93.918,-42.7,4.962,5228.1
0,0,149,0,-1.8,92.893,-46.2,1.299,5099.1
1,0,270,2,1.4,94.465,-41.8,4.962,5228.1
5,0,581,1,-0.1,93.2,-42.0,4.12,5195.8
1,0,160,0,1.4,94.465,-41.8,4.866,5228.1
2,0,302,0,1.4,93.918,-42.7,4.962,5228.1
5,0,206,0,-0.1,93.2,-42.0,4.021,5195.8
2,0,122,1,1.4,93.918,-42.7,4.96,5228.1
8,0,395,1,-1.8,93.075,-47.1,1.405,5099.1
0,0,103,2,-1.8,92.893,-46.2,1.334,5099.1
8,0,479,1,-1.8,93.075,-47.1,1.405,5099.1
5,0,111,0,-3.4,92.649,-30.1,0.714,5017.5
1,0,56,2,1.4,94.465,-41.8,4.865,5228.1
0,0,98,20,1.1,93.994,-36.4,4.857,5191.0
3,0,71,0,1.4,93.444,-36.1,4.966,5228.1
2,0,11,9,1.4,93.918,-42.7,4.968,5228.1
0,0,326,0,-1.8,92.893,-46.2,1.344,5099.1
1,0,203,1,1.4,94.465,-41.8,4.96,5228.1
3,0,56,0,1.4,93.444,-36.1,4.964,5228.1
0,0,544,3,1.1,93.994,-36.4,4.86,5191.0
0,0,723,0,1.1,93.994,-36.4,4.856,5191.0
0,8,104,0,-1.8,93.876,-40.0,0.668,5008.7
0,0,76,0,-1.8,92.893,-46.2,1.313,5099.1
0,0,26,16,1.1,93.994,-36.4,4.856,5191.0
0,0,151,3,-1.8,92.893,-46.2,1.313,5099.1
0,0,376,3,1.1,93.994,-36.4,4.857,5191.0
0,0,158,0,-1.8,92.893,-46.2,1.266,5099.1
0,0,220,0,-1.8,92.893,-46.2,1.244,5099.1
0,0,75,6,-1.8,92.893,-46.2,1.344,5099.1
0,0,126,0,-1.8,93.876,-40.0,0.668,5008.7
1,0,426,1,1.4,94.465,-41.8,4.967,5228.1
3,0,120,0,1.4,93.444,-36.1,4.963,5228.1
5,0,68,0,-0.1,93.2,-42.0,4.191,5195.8
8,15,184,1,-1.8,93.749,-34.6,0.643,5008.7
1,0,62,5,1.4,94.465,-41.8,4.958,5228.1
0,0,611,1,1.1,93.994,-36.4,4.856,5191.0
0,0,180,1,1.1,93.994,-36.4,4.855,5191.0
0,0,62,1,1.1,93.994,-36.4,4.857,5191.0
2,0,284,2,1.4,93.918,-42.7,4.961,5228.1
0,0,101,1,-1.8,92.893,-46.2,1.354,5099.1
2,0,122,0,1.4,93.918,-42.7,4.961,5228.1
5,0,114,0,-0.1,93.2,-42.0,4.191,5195.8
2,0,246,0,1.4,93.918,-42.7,4.961,5228.1
5,0,181,0,-0.1,93.2,-42.0,4.021,5195.8
1,0,1025,6,1.4,94.465,-41.8,4.864,5228.1
1,0,36,3,1.4,94.465,-41.8,4.959,5228.1
3,0,167,0,1.4,93.444,-36.1,4.964,5228.1
2,0,86,2,1.4,93.918,-42.7,4.963,5228.1
9,0,133,2,-3.4,92.379,-29.8,0.797,5017.5
0,0,166,3,-1.8,92.893,-46.2,1.25,5099.1
1,0,169,0,-1.7,94.055,-39.8,0.729,4991.6
5,0,86,1,-0.1,93.2,-42.0,4.153,5195.8
2,0,77,0,1.4,93.918,-42.7,4.968,5228.1
1,0,281,3,1.4,94.465,-41.8,4.865,5228.1
0,0,217,0,1.1,93.994,-36.4,4.856,5191.0
7,0,103,0,-1.8,92.843,-50.0,1.799,5099.1
0,0,251,0,1.1,93.994,-36.4,4.857,5191.0
2,0,148,22,1.4,93.918,-42.7,4.963,5228.1
0,0,291,0,1.1,93.994,-36.4,4.86,5191.0
0,0,73,0,1.1,93.994,-36.4,4.857,5191.0
1,0,400,0,-2.9,92.963,-40.8,1.26,5076.2
0,0,150,2,-1.8,92.893,-46.2,1.281,5099.1
3,0,316,1,1.4,93.444,-36.1,4.968,5228.1
0,0,99,2,1.1,93.994,-36.4,4.857,5191.0
3,0,62,1,1.4,93.444,-36.1,4.964,5228.1
2,0,36,0,1.4,93.918,-42.7,4.962,5228.1
8,0,517,0,-1.8,93.075,-47.1,1.405,5099.1
7,0,187,2,-1.8,93.369,-34.8,0.655,5008.7
3,0,88,0,1.4,93.444,-36.1,4.966,5228.1
0,0,383,4,-1.8,92.893,-46.2,1.281,5099.1
5,0,105,0,-0.1,93.2,-42.0,4.191,5195.8
2,0,84,0,1.4,93.918,-42.7,4.96,5228.1
3,0,136,0,1.4,93.444,-36.1,4.963,5228.1
2,0,405,1,1.4,93.918,-42.7,4.961,5228.1
2,0,61,1,1.4,93.918,-42.7,4.962,5228.1
0,0,104,0,1.1,93.994,-36.4,4.857,5191.0
3,0,180,2,1.4,93.444,-36.1,4.966,5228.1
0,0,332,0,1.1,93.994,-36.4,4.86,5191.0
5,0,70,0,-0.1,93.2,-42.0,4.12,5195.8
0,0,308,1,-1.8,92.893,-46.2,1.266,5099.1
0,0,176,0,-1.8,92.893,-46.2,1.266,5099.1
8,0,98,0,-1.8,93.075,-47.1,1.405,5099.1
0,0,136,1,-1.8,92.893,-46.2,1.299,5099.1
5,0,623,0,-0.1,93.2,-42.0,4.12,5195.8
2,0,1272,2,1.4,93.918,-42.7,4.96,5228.1
0,0,71,0,-1.8,92.893,-46.2,1.266,5099.1
0,0,801,0,1.1,93.994,-36.4,4.858,5191.0
0,0,80,1,1.1,93.994,-36.4,4.856,5191.0
0,0,130,0,-1.8,92.893,-46.2,1.334,5099.1
3,0,241,1,-2.9,92.201,-31.4,0.861,5076.2
0,0,426,0,-1.8,92.893,-46.2,1.281,5099.1
1,0,159,0,1.4,94.465,-41.8,4.959,5228.1
1,0,97,0,1.4,94.465,-41.8,4.864,5228.1
8,0,21,4,-1.8,93.075,-47.1,1.405,5099.1
0,0,2087,1,1.1,93.994,-36.4,4.855,5191.0
3,0,79,2,1.4,93.444,-36.1,4.964,5228.1
5,0,41,0,-0.1,93.2,-42.0,4.021,5195.8
1,0,612,1,1.4,94.465,-41.8,4.865,5228.1
0,0,593,1,1.1,93.994,-36.4,4.857,5191.0
0,0,106,0,1.1,93.994,-36.4,4.856,5191.0
0,0,520,1,-1.8,92.893,-46.2,1.354,5099.1
1,0,394,1,1.4,94.465,-41.8,4.96,5228.1
2,0,311,27,1.4,93.918,-42.7,4.963,5228.1
2,0,150,1,1.4,93.918,-42.7,4.968,5228.1
0,0,80,0,1.1,93.994,-36.4,4.86,5191.0
5,0,65,2,-3.4,92.649,-30.1,0.718,5017.5
1,0,24,0,1.4,94.465,-41.8,4.967,5228.1
8,0,118,5,-1.8,93.075,-47.1,1.423,5099.1
0,0,430,3,-1.8,92.893,-46.2,1.266,5099.1
0,0,742,1,1.1,93.994,-36.4,4.864,5191.0
0,0,668,1,1.1,93.994,-36.4,4.86,5191.0
